Nama,Harga,Terjual,Kota,Link
PUPUK CALSIUM BALICALS 1 Kg - Mesh 3000,Rp20.000,13 Terjual,KAB. LIMA PULUH KOTO/KOTA,https://shopee.co.id/PUPUK-CALSIUM-BALICALS-1-Kg-Mesh-3000-i.546370135.16302882786?sp_atk=64ad1159-2da2-4a36-81c9-ad5551532df1&xptdk=64ad1159-2da2-4a36-81c9-ad5551532df1
PUPUK TOPCALSI 1 KG KEMASAN PABRIK KALSIUM BORON,Rp16.500,"1,2RB Terjual",KOTA JAKARTA BARAT,https://shopee.co.id/PUPUK-TOPCALSI-1-KG-KEMASAN-PABRIK-KALSIUM-BORON-i.16443162.9515251585?sp_atk=03e325d8-b52c-482f-90b5-307769b76fab&xptdk=03e325d8-b52c-482f-90b5-307769b76fab
PUPUK MANOHARA 1 KG KEMASAN PABRIK KALSIUM BORON,Rp18.000,106 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/PUPUK-MANOHARA-1-KG-KEMASAN-PABRIK-KALSIUM-BORON-i.16284584.3259350256?sp_atk=b3741b34-f830-46fd-a803-cd80cbe04277&xptdk=b3741b34-f830-46fd-a803-cd80cbe04277
Pupuk Calsium Cap Tawon 1 kg,Rp17.500,36 Terjual,KAB. MAJALENGKA,https://shopee.co.id/Pupuk-Calsium-Cap-Tawon-1-kg-i.7934806.11223540399?sp_atk=4d6b18a7-942b-4738-90a8-6214aa567fb4&xptdk=4d6b18a7-942b-4738-90a8-6214aa567fb4
PUPUK CALSIUM SAFYCALS 1 KG + BORON,Rp14.850,15 Terjual,KAB. LIMA PULUH KOTO/KOTA,https://shopee.co.id/PUPUK-CALSIUM-SAFYCALS-1-KG-BORON-i.546370135.16200107518?sp_atk=0be59cb7-6145-4844-8698-984ade2435bd&xptdk=0be59cb7-6145-4844-8698-984ade2435bd
KALSIUM - MANOHARA 1 KG kalsium boron,Rp15.200,521 Terjual,KAB. WONOSOBO,https://shopee.co.id/KALSIUM-MANOHARA-1-KG-kalsium-boron-i.180399789.15813649937?sp_atk=af7285c1-49a7-4d19-9454-16682cf4a11a&xptdk=af7285c1-49a7-4d19-9454-16682cf4a11a
Pupuk Calsium Boron Plus ZPT POWER CALL 1liter,Rp33.000,215 Terjual,KAB. CIANJUR,https://shopee.co.id/Pupuk-Calsium-Boron-Plus-ZPT-POWER-CALL-1liter-i.255589428.20608036930?sp_atk=9d877710-39c3-4cb8-b798-81896d11ca76&xptdk=9d877710-39c3-4cb8-b798-81896d11ca76
Pupuk Nutrisi Super Calsium 99%,Rp12.000,522 Terjual,KOTA DEPOK,https://shopee.co.id/Pupuk-Nutrisi-Super-Calsium-99--i.54699932.15008220743?sp_atk=eb53da51-16e7-4241-8c69-13624860f07c&xptdk=eb53da51-16e7-4241-8c69-13624860f07c
Pupuk Kalsium Calsium Original Murni 99 Ukuran 1kg,Rp14.900,849 Terjual,KAB. BOGOR,https://shopee.co.id/Pupuk-Kalsium-Calsium-Original-Murni-99-Ukuran-1kg-i.30371938.9678859426?sp_atk=dca01657-cb4f-497f-80a7-e5398997df5e&xptdk=dca01657-cb4f-497f-80a7-e5398997df5e
Calsium Boron MANOHARA isi 1kg,Rp16.500,57 Terjual,KAB. CIANJUR,https://shopee.co.id/Calsium-Boron-MANOHARA-isi-1kg-i.663419499.19715959551?sp_atk=1bed1dfe-f3ba-4fa4-a453-470a32d3daf2&xptdk=1bed1dfe-f3ba-4fa4-a453-470a32d3daf2
Pupuk Kalsium Nitrat CN-G Pak Tani Saprotan Utama kemasan asli 1kg,Rp30.000,17 Terjual,KOTA MEDAN,https://shopee.co.id/Pupuk-Kalsium-Nitrat-CN-G-Pak-Tani-Saprotan-Utama-kemasan-asli-1kg-i.202522906.22124296528?sp_atk=c4dd6cd2-cadd-4700-b762-4b3a740ae03b&xptdk=c4dd6cd2-cadd-4700-b762-4b3a740ae03b
Top calsium 98 Pupuk calsium lengkap isi 1kg,Rp13.999,398 Terjual,KAB. WONOSOBO,https://shopee.co.id/Top-calsium-98-Pupuk-calsium-lengkap-isi-1kg-i.388591402.13236611542?sp_atk=67417e60-a05c-402d-b186-06db7b7f225d&xptdk=67417e60-a05c-402d-b186-06db7b7f225d
Pupuk NPK Pak Tani 16-16-16 Biru,Rp10.660 - Rp21.500,"5,4RB Terjual",KOTA DEPOK,https://shopee.co.id/Pupuk-NPK-Pak-Tani-16-16-16-Biru-i.2621862.16942433114?sp_atk=221f3fce-7cd0-4e69-89fd-96a4b3491b25&xptdk=221f3fce-7cd0-4e69-89fd-96a4b3491b25
Kalsium natural,Rp16.000,434 Terjual,KAB. MAGELANG,https://shopee.co.id/Kalsium-natural-i.653632959.15152679152?sp_atk=797397ce-c473-4851-b3c2-6fba1cc9a2c6&xptdk=797397ce-c473-4851-b3c2-6fba1cc9a2c6
Pupuk Kalsium Manohara 1 kg  Plus Magnesium Boron Calsium Fertilizer Penambah Rasa Buah dan Mencegah Kerontokan,Rp17.999,214 Terjual,KOTA DEPOK,https://shopee.co.id/Pupuk-Kalsium-Manohara-1-kg-Plus-Magnesium-Boron-Calsium-Fertilizer-Penambah-Rasa-Buah-dan-Mencegah-Kerontokan-i.135032082.10394064691?sp_atk=005ffee8-f981-4d37-89a8-dc84bd2c2a86&xptdk=005ffee8-f981-4d37-89a8-dc84bd2c2a86
Pupuk CNG CN-G Kalsium Nitrat Pak Tani Segel Pabrik,Rp20.000,689 Terjual,KAB. WONOSOBO,https://shopee.co.id/Pupuk-CNG-CN-G-Kalsium-Nitrat-Pak-Tani-Segel-Pabrik-i.45320795.12523975842?sp_atk=02cb42c1-7ade-43e6-924b-c403faddd2a0&xptdk=02cb42c1-7ade-43e6-924b-c403faddd2a0
Cal-ha(pupuk calsium asam humat) 1 kg,Rp28.000,305 Terjual,KAB. WONOSOBO,https://shopee.co.id/Cal-ha(pupuk-calsium-asam-humat)-1-kg-i.119624656.16772947434?sp_atk=15ba1ea9-8218-4c86-8f09-88a2060e1239&xptdk=15ba1ea9-8218-4c86-8f09-88a2060e1239
PUPUK CANTIK 1 KG KEMASAN PABRIK CALCIUM AMMONIUM NITRAT,Rp23.500,974 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/PUPUK-CANTIK-1-KG-KEMASAN-PABRIK-CALCIUM-AMMONIUM-NITRAT-i.16443162.9706332629?sp_atk=853d6192-9748-4443-acc2-086c23ab138a&xptdk=853d6192-9748-4443-acc2-086c23ab138a
PUPUK KALSIUM NITRAT CNG 1 KG @KEMASAN PABRIK,Rp25.000,107 Terjual,KOTA METRO,https://shopee.co.id/PUPUK-KALSIUM-NITRAT-CNG-1-KG-KEMASAN-PABRIK-i.440556056.4391076035?sp_atk=77e1533c-8c20-4e8a-b137-bf9c29153d92&xptdk=77e1533c-8c20-4e8a-b137-bf9c29153d92
Kalsium Susu Untuk Tanaman 1kg Anti Rontok & Layu,Rp33.000,59 Terjual,KAB. PURWOREJO,https://shopee.co.id/Kalsium-Susu-Untuk-Tanaman-1kg-Anti-Rontok-Layu-i.15001736.8241880418?sp_atk=733be7ca-6252-40c2-8bfe-c6b1484faf1f&xptdk=733be7ca-6252-40c2-8bfe-c6b1484faf1f
Kalsium Cng 1 Kg,Rp22.500,317 Terjual,KAB. MAGELANG,https://shopee.co.id/Kalsium-Cng-1-Kg-i.653632959.15137317639?sp_atk=c398de84-756e-475b-8263-319e73f12d8f&xptdk=c398de84-756e-475b-8263-319e73f12d8f
[ COD ] KALSIUM SUSU UNTUK TANAMAN ANTI RONTOK & LAYU - 1 KG,Rp24.000,72 Terjual,KAB. BLORA,https://shopee.co.id/-COD-KALSIUM-SUSU-UNTUK-TANAMAN-ANTI-RONTOK-LAYU-1-KG-i.638410137.18921356545?sp_atk=efdca369-9556-4373-89fd-ec703ed9159c&xptdk=efdca369-9556-4373-89fd-ec703ed9159c
PUPUK KALSIUM MANOHARA 1KG,Rp18.000,30 Terjual,KAB. SUMEDANG,https://shopee.co.id/PUPUK-KALSIUM-MANOHARA-1KG-i.705616667.20160270105?sp_atk=53dbf0eb-3722-43b9-8b5f-33d6ffc69147&xptdk=53dbf0eb-3722-43b9-8b5f-33d6ffc69147
